Entity,Code,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
World,OWID_WRL,2010,0.08581455,0.055330243,0.20787302,0.41695616,0.40162608,0.044166923,0.112679616
World,OWID_WRL,2011,0.08224506,,0.21536702,0.34990245,0.388883,0.041529305,0.106706336
World,OWID_WRL,2012,0.07047066,0.09528636,0.18508165,0.2600221,0.37932393,0.043207027,0.09770544
World,OWID_WRL,2013,0.09037533,0.0707424,0.15602072,0.20022082,0.27958906,0.048289977,0.0984569
World,OWID_WRL,2014,0.090554595,0.07215597,0.18996397,0.18286598,0.24286571,0.037728366,0.08788345
World,OWID_WRL,2015,0.07966977,0.06492279,0.15494837,0.13510516,0.25136447,0.04154221,0.07581618
World,OWID_WRL,2016,0.07786159,0.074959464,0.12838614,0.118348815,0.2790351,0.05496526,0.070178494
World,OWID_WRL,2017,0.07773872,0.07842441,0.116625756,0.092944756,0.23284303,0.057614863,0.06577677
World,OWID_WRL,2018,0.059894048,0.07568996,0.11416621,0.07864044,0.16698822,0.045250613,0.055872437
World,OWID_WRL,2019,0.07028279,0.07469924,0.094945505,0.068642035,0.2380288,0.046389103,0.048891213
World,OWID_WRL,2020,0.07933245,0.0627469,0.09145541,0.06099978,0.11909422,0.0522127,0.040604115
World,OWID_WRL,2021,0.07350465,0.07506707,0.08192627,0.05452617,0.12675023,0.054503772,0.036129907
World,OWID_WRL,2022,0.06389519,0.058841214,0.080760695,0.051091637,0.12441211,0.06264477,0.034220506
World,OWID_WRL,2023,0.07272733,0.072444156,0.07645156,0.04237786,0.119597025,0.05842002,0.03312856
World,OWID_WRL,2024,0.08669712,0.059874233,0.07911744,0.04261977,0.091843486,0.056526273,0.033980936